date,congestion,diffRatio
2020-06-29,27,-0.1290322580645161
2020-06-30,28,-0.2
2020-07-01,29,-0.2162162162162162
2020-07-02,28,-0.2432432432432433
2020-07-03,30,-0.1666666666666666
2020-07-04,21,-0.1923076923076923
2020-07-05,16,-0.1578947368421052
2020-07-06,23,-0.2580645161290322
2020-07-07,23,-0.3428571428571429
2020-07-08,25,-0.3243243243243243
2020-07-09,27,-0.2702702702702703
2020-07-10,27,-0.25
2020-07-11,19,-0.2692307692307692
2020-07-12,15,-0.2105263157894736
2020-07-13,21,-0.3225806451612903
2020-07-14,20,-0.4285714285714285
2020-07-15,21,-0.4324324324324325
2020-07-16,23,-0.3783783783783784
2020-07-17,23,-0.3611111111111111
2020-07-18,19,-0.2692307692307692
2020-07-19,16,-0.1578947368421052
2020-07-20,24,-0.2258064516129032
2020-07-21,30,-0.1428571428571428
2020-07-22,30,-0.1891891891891892
2020-07-23,30,-0.1891891891891892
2020-07-24,30,-0.1666666666666666
2020-07-25,20,-0.2307692307692308
2020-07-26,12,-0.3684210526315789
2020-07-27,27,-0.1290322580645161
2020-07-28,27,-0.2285714285714285
2020-07-29,30,-0.1891891891891892
2020-07-30,31,-0.1621621621621621
2020-07-31,28,-0.2222222222222222
2020-08-01,20,-0.2307692307692308
2020-08-02,15,-0.2105263157894736
2020-08-03,27,-0.1290322580645161
2020-08-04,29,-0.1714285714285714
2020-08-05,30,-0.1891891891891892
2020-08-06,30,-0.1891891891891892
2020-08-07,30,-0.1666666666666666
2020-08-08,19,-0.2692307692307692
2020-08-09,14,-0.2631578947368421
2020-08-10,24,-0.2258064516129032
2020-08-11,28,-0.2
2020-08-12,29,-0.2162162162162162
2020-08-13,30,-0.1891891891891892
2020-08-14,29,-0.1944444444444444
2020-08-15,21,-0.1923076923076923
2020-08-16,15,-0.2105263157894736
2020-08-17,26,-0.1612903225806451
2020-08-18,27,-0.2285714285714285
2020-08-19,30,-0.1891891891891892
2020-08-20,29,-0.2162162162162162
2020-08-21,30,-0.1666666666666666
2020-08-22,19,-0.2692307692307692
2020-08-23,13,-0.3157894736842105
2020-08-24,26,-0.1612903225806451
2020-08-25,29,-0.1714285714285714
2020-08-26,30,-0.1891891891891892
2020-08-27,33,-0.1081081081081081
2020-08-28,30,-0.1666666666666666
2020-08-29,21,-0.1923076923076923
2020-08-30,19,0.0
2020-08-31,25,-0.1935483870967742
2020-09-01,29,-0.1714285714285714
2020-09-02,29,-0.2162162162162162
2020-09-03,32,-0.1351351351351351
2020-09-04,32,-0.1111111111111111
2020-09-05,22,-0.1538461538461538
2020-09-06,15,-0.2105263157894736
2020-09-07,26,-0.1612903225806451
2020-09-08,29,-0.1714285714285714
2020-09-09,31,-0.1621621621621621
2020-09-10,29,-0.2162162162162162
2020-09-11,29,-0.1944444444444444
2020-09-12,21,-0.1923076923076923
2020-09-13,14,-0.2631578947368421
2020-09-14,26,-0.1612903225806451
2020-09-15,28,-0.2
2020-09-16,32,-0.1351351351351351
2020-09-17,32,-0.1351351351351351
2020-09-18,31,-0.1388888888888889
2020-09-19,19,-0.2692307692307692
2020-09-20,12,-0.3684210526315789
2020-09-21,28,-0.0967741935483871
2020-09-22,30,-0.1428571428571428
2020-09-23,30,-0.1891891891891892
2020-09-24,31,-0.1621621621621621
2020-09-25,31,-0.1388888888888889
2020-09-26,20,-0.2307692307692308
2020-09-27,14,-0.2631578947368421
2020-09-28,20,-0.3548387096774194
2020-09-29,23,-0.3428571428571429
2020-09-30,23,-0.3783783783783784
2020-10-01,26,-0.2972972972972973
2020-10-02,29,-0.1944444444444444
2020-10-03,21,-0.1923076923076923
2020-10-04,18,-0.0526315789473684
2020-10-05,15,-0.5161290322580645
2020-10-06,20,-0.4285714285714285
2020-10-07,23,-0.3783783783783784
2020-10-08,24,-0.3513513513513513
2020-10-09,27,-0.25
2020-10-10,18,-0.3076923076923077
2020-10-11,14,-0.2631578947368421
2020-10-12,26,-0.1612903225806451
2020-10-13,31,-0.1142857142857142
2020-10-14,31,-0.1621621621621621
2020-10-15,32,-0.1351351351351351
2020-10-16,31,-0.1388888888888889
2020-10-17,21,-0.1923076923076923
2020-10-18,14,-0.2631578947368421
2020-10-19,28,-0.0967741935483871
2020-10-20,31,-0.1142857142857142
2020-10-21,33,-0.1081081081081081
2020-10-22,33,-0.1081081081081081
2020-10-23,32,-0.1111111111111111
2020-10-24,23,-0.1153846153846154
2020-10-25,15,-0.2105263157894736
2020-10-26,27,-0.1290322580645161
2020-10-27,29,-0.1714285714285714
2020-10-28,29,-0.2162162162162162
2020-10-29,30,-0.1891891891891892
2020-10-30,31,-0.1388888888888889
2020-10-31,20,-0.2307692307692308
2020-11-01,13,-0.3157894736842105
2020-11-02,27,-0.1290322580645161
2020-11-03,29,-0.1714285714285714
2020-11-04,30,-0.1891891891891892
2020-11-05,31,-0.1621621621621621
2020-11-06,29,-0.1944444444444444
2020-11-07,20,-0.2307692307692308
2020-11-08,14,-0.2631578947368421
2020-11-09,27,-0.1290322580645161
2020-11-10,30,-0.1428571428571428
2020-11-11,33,-0.1081081081081081
2020-11-12,31,-0.1621621621621621
2020-11-13,32,-0.1111111111111111
2020-11-14,21,-0.1923076923076923
2020-11-15,16,-0.1578947368421052
2020-11-16,27,-0.1290322580645161
2020-11-17,31,-0.1142857142857142
2020-11-18,33,-0.1081081081081081
2020-11-19,33,-0.1081081081081081
2020-11-20,33,-0.0833333333333333
2020-11-21,22,-0.1538461538461538
2020-11-22,14,-0.2631578947368421
2020-11-23,29,-0.064516129032258
2020-11-24,32,-0.0857142857142857
2020-11-25,33,-0.1081081081081081
2020-11-26,36,-0.027027027027027
2020-11-27,36,0.0
2020-11-28,20,-0.2307692307692308
2020-11-29,13,-0.3157894736842105
2020-11-30,29,-0.064516129032258
2020-12-01,33,-0.0571428571428571
2020-12-02,35,-0.054054054054054
2020-12-03,34,-0.081081081081081
2020-12-04,35,-0.0277777777777777
2020-12-05,22,-0.1538461538461538
2020-12-06,17,-0.1052631578947368
2020-12-07,28,-0.0967741935483871
2020-12-08,32,-0.0857142857142857
2020-12-09,35,-0.054054054054054
2020-12-10,35,-0.054054054054054
2020-12-11,35,-0.0277777777777777
2020-12-12,23,-0.1153846153846154
2020-12-13,16,-0.1578947368421052
2020-12-14,29,-0.064516129032258
2020-12-15,33,-0.0571428571428571
2020-12-16,38,0.027027027027027
2020-12-17,32,-0.1351351351351351
2020-12-18,30,-0.1666666666666666
2020-12-19,19,-0.2692307692307692
2020-12-20,12,-0.3684210526315789
2020-12-21,23,-0.2580645161290322
2020-12-22,20,-0.4285714285714285
2020-12-23,21,-0.4324324324324325
2020-12-24,18,-0.5135135135135135
2020-12-25,8,-0.7777777777777778
2020-12-26,11,-0.5769230769230769
2020-12-27,15,-0.2105263157894736
2020-12-28,11,-0.6451612903225806
2020-12-29,14,-0.6
2020-12-30,15,-0.5945945945945946
2020-12-31,14,-0.6216216216216216
2021-01-04,15,-0.5161290322580645
2021-01-05,16,-0.5428571428571428
2021-01-06,16,-0.5675675675675675
2021-01-07,17,-0.5405405405405406
2021-01-08,17,-0.5277777777777778
2021-01-09,15,-0.4230769230769231
2021-01-10,16,-0.1578947368421052
2021-01-11,19,-0.3870967741935484
2021-01-12,20,-0.4285714285714285
2021-01-13,22,-0.4054054054054054
2021-01-14,22,-0.4054054054054054
2021-01-15,22,-0.3888888888888889
2021-01-16,18,-0.3076923076923077
2021-01-17,14,-0.2631578947368421
2021-01-18,23,-0.2580645161290322
2021-01-19,24,-0.3142857142857143
2021-01-20,24,-0.3513513513513513
2021-01-21,26,-0.2972972972972973
2021-01-22,26,-0.2777777777777778
2021-01-23,19,-0.2692307692307692
2021-01-24,14,-0.2631578947368421
2021-01-25,18,-0.4193548387096774
2021-01-26,13,-0.6285714285714286
2021-01-27,35,-0.054054054054054
2021-01-28,36,-0.027027027027027
2021-01-29,41,0.1388888888888889
2021-01-30,25,-0.0384615384615384
2021-01-31,18,-0.0526315789473684
2021-02-01,36,0.1612903225806451
2021-02-02,38,0.0857142857142857
2021-02-03,40,0.081081081081081
2021-02-04,39,0.054054054054054
2021-02-05,38,0.0555555555555555
2021-02-06,27,0.0384615384615384
2021-02-07,20,0.0526315789473684
2021-02-08,35,0.1290322580645161
2021-02-09,39,0.1142857142857142
2021-02-10,41,0.1081081081081081
2021-02-11,41,0.1081081081081081
2021-02-12,37,0.0277777777777777
2021-02-13,26,0.0
2021-02-14,20,0.0526315789473684
2021-02-15,34,0.0967741935483871
2021-02-16,39,0.1142857142857142
2021-02-17,41,0.1081081081081081
2021-02-18,39,0.054054054054054
2021-02-19,37,0.0277777777777777
2021-02-20,28,0.0769230769230769
2021-02-21,20,0.0526315789473684
2021-02-22,36,0.1612903225806451
2021-02-23,40,0.1428571428571428
2021-02-24,42,0.1351351351351351
2021-02-25,40,0.081081081081081
2021-02-26,40,0.1111111111111111
2021-02-27,28,0.0769230769230769
2021-02-28,20,0.0526315789473684
2021-03-01,37,0.1935483870967742
2021-03-02,41,0.1714285714285714
2021-03-03,40,0.081081081081081
2021-03-04,42,0.1351351351351351
2021-03-05,39,0.0833333333333333
2021-03-06,28,0.0769230769230769
2021-03-07,20,0.0526315789473684
2021-03-08,38,0.2258064516129032
2021-03-09,39,0.1142857142857142
2021-03-10,40,0.081081081081081
2021-03-11,40,0.081081081081081
2021-03-12,37,0.0277777777777777
2021-03-13,28,0.0769230769230769
2021-03-14,19,0.0
2021-03-15,36,0.1612903225806451
2021-03-16,42,0.2
2021-03-17,40,0.081081081081081
2021-03-18,44,0.1891891891891892
2021-03-19,35,-0.0277777777777777
2021-03-20,23,-0.1153846153846153
2021-03-21,17,-0.1052631578947368
2021-03-22,36,0.1612903225806451
2021-03-23,35,0.0
2021-03-24,43,0.1621621621621621
2021-03-25,44,0.1891891891891892
2021-03-26,41,0.1388888888888889
2021-03-27,30,0.1538461538461538
2021-03-28,21,0.1052631578947368
2021-03-29,38,0.2258064516129032
2021-03-30,42,0.2
2021-03-31,45,0.2162162162162162
2021-04-01,47,0.2702702702702703
2021-04-02,18,-0.5
2021-04-03,22,-0.1538461538461538
2021-04-04,18,-0.0526315789473684
2021-04-05,17,-0.4516129032258064
2021-04-06,29,-0.1714285714285714
2021-04-07,35,-0.054054054054054
2021-04-08,35,-0.054054054054054
2021-04-09,35,-0.0277777777777777
2021-04-10,27,0.0384615384615384
2021-04-11,21,0.1052631578947368
2021-04-12,32,0.032258064516129
2021-04-13,36,0.0285714285714285
2021-04-14,35,-0.054054054054054
2021-04-15,35,-0.054054054054054
2021-04-16,34,-0.0555555555555555
2021-04-17,27,0.0384615384615384
2021-04-18,20,0.0526315789473684
2021-04-19,34,0.0967741935483871
2021-04-20,43,0.2285714285714285
2021-04-21,44,0.1891891891891892
2021-04-22,44,0.1891891891891892
2021-04-23,40,0.1111111111111111
2021-04-24,31,0.1923076923076923
2021-04-25,20,0.0526315789473684
2021-04-26,35,0.1290322580645161
2021-04-27,41,0.1714285714285714
2021-04-28,41,0.1081081081081081
2021-04-29,41,0.1081081081081081
2021-04-30,38,0.0555555555555555
2021-05-01,30,0.1538461538461538
