,driving,transit,walking
2020-08-24,121.94,52.29,76.79
2020-08-25,123.91,52.22,77.15
2020-08-26,127.88,53.22,82.53
2020-08-27,125.49,49.8,76.03
2020-08-28,140.71,55.04,89.61
2020-08-29,119.75,47.59,81.37
2020-08-30,120.6,50.17,82.68
2020-08-31,117.46,49.09,76.96
2020-09-01,120.92,49.23,80.1
2020-09-02,120.24,49.11,77.86
2020-09-03,128.38,51.79,81.56
2020-09-04,152.09,59.41,101.39
2020-09-05,139.13,57.42,105.61
2020-09-06,118.49,49.0,87.4
2020-09-07,106.79,49.15,75.62
2020-09-08,119.42,51.71,78.8
2020-09-09,119.99,51.53,78.75
2020-09-10,117.52,47.97,71.56
2020-09-11,144.16,59.99,100.83
2020-09-12,144.16,60.36,110.01
2020-09-13,108.24,47.2,76.65
2020-09-14,114.76,50.49,75.44
2020-09-15,118.19,50.35,78.07
2020-09-16,118.17,51.16,79.11
2020-09-17,123.4,53.07,82.06
2020-09-18,142.13,58.55,97.27
2020-09-19,142.23,61.66,109.69
2020-09-20,107.52,50.43,77.22
2020-09-21,108.88,49.18,72.01
2020-09-22,112.39,49.6,75.49
2020-09-23,116.76,52.08,79.63
2020-09-24,119.13,52.39,80.37
2020-09-25,141.72,61.3,101.16
2020-09-26,141.1,63.75,112.78
2020-09-27,107.92,49.82,78.37
2020-09-28,107.93,50.37,73.9
2020-09-29,106.6,47.02,66.64
2020-09-30,112.6,50.69,75.36
2020-10-01,119.21,54.46,81.35
2020-10-02,133.83,59.66,94.32
2020-10-03,138.65,63.07,110.23
2020-10-04,104.71,48.4,75.86
2020-10-05,105.97,49.63,70.99
2020-10-06,109.84,50.57,74.81
2020-10-07,110.06,50.36,73.17
2020-10-08,115.49,53.56,77.76
2020-10-09,138.24,61.5,97.63
2020-10-10,140.45,65.53,111.03
2020-10-11,102.35,48.49,75.44
2020-10-12,93.85,42.43,55.64
2020-10-13,101.31,47.13,64.5
2020-10-14,111.6,52.71,77.33
2020-10-15,117.77,54.51,81.23
2020-10-16,121.98,51.44,75.12
2020-10-17,137.42,65.09,111.69
2020-10-18,106.13,50.49,77.14
2020-10-19,104.5,50.52,70.55
2020-10-20,106.27,50.32,71.79
2020-10-21,108.86,51.62,74.84
2020-10-22,113.36,53.26,77.51
2020-10-23,133.57,62.07,97.57
2020-10-24,135.4,64.22,109.72
2020-10-25,100.99,47.94,71.76
2020-10-26,101.11,48.25,66.59
2020-10-27,106.01,50.23,73.06
2020-10-28,105.96,49.65,71.19
2020-10-29,103.17,46.44,62.7
2020-10-30,123.86,55.89,83.41
2020-10-31,125.45,62.81,105.34
2020-11-01,88.23,43.1,60.0
2020-11-02,97.67,47.29,64.31
2020-11-03,96.74,43.62,68.14
2020-11-04,94.95,44.2,63.47
2020-11-05,103.91,50.18,71.78
2020-11-06,120.64,58.54,89.38
2020-11-07,122.29,62.59,107.3
2020-11-08,95.56,50.02,77.06
2020-11-09,95.92,49.65,69.2
2020-11-10,100.83,51.29,73.28
2020-11-11,95.46,46.52,64.25
2020-11-12,92.43,46.26,61.07
2020-11-13,112.66,55.02,79.55
2020-11-14,115.18,60.93,96.46
2020-11-15,82.05,43.98,61.1
2020-11-16,92.48,47.23,63.1
2020-11-17,93.43,46.72,61.92
2020-11-18,94.81,46.02,60.64
2020-11-19,97.68,47.14,65.16
2020-11-20,117.72,55.9,83.99
2020-11-21,113.67,57.45,90.48
2020-11-22,82.71,43.09,59.21
2020-11-23,95.45,45.59,61.27
2020-11-24,104.23,46.91,67.43
2020-11-25,110.33,45.05,71.79
2020-11-26,56.33,29.8,38.1
2020-11-27,95.11,43.9,69.14
2020-11-28,99.29,46.86,74.83
2020-11-29,82.24,41.0,59.5
2020-11-30,84.37,39.72,52.24
2020-12-01,93.5,44.94,62.04
2020-12-02,92.74,44.16,61.7
2020-12-03,95.52,45.75,66.84
2020-12-04,106.5,48.53,74.16
2020-12-05,97.33,48.42,74.27
2020-12-06,82.26,44.62,61.99
2020-12-07,89.28,44.48,60.87
2020-12-08,90.71,43.82,60.26
2020-12-09,92.02,43.81,60.24
2020-12-10,97.85,46.79,68.23
2020-12-11,113.45,53.32,85.55
2020-12-12,107.65,53.28,89.45
2020-12-13,87.83,46.24,72.28
2020-12-14,89.07,42.21,57.13
2020-12-15,102.48,45.59,66.98
2020-12-16,78.61,36.99,50.63
2020-12-17,53.84,37.18,41.18
2020-12-18,103.54,50.48,71.29
2020-12-19,104.78,51.58,78.19
2020-12-20,80.44,41.36,56.91
2020-12-21,104.43,49.23,69.58
2020-12-22,110.61,49.14,72.77
2020-12-23,121.78,49.32,77.96
2020-12-24,93.73,36.44,60.9
2020-12-25,49.77,25.17,34.02
2020-12-26,89.16,39.07,60.55
2020-12-27,80.13,38.96,56.61
2020-12-28,98.51,48.54,71.94
2020-12-29,101.39,47.5,69.1
2020-12-30,104.95,47.95,73.46
2020-12-31,96.14,41.79,71.6
2021-01-01,65.46,31.83,49.14
2021-01-02,95.8,45.46,76.34
2021-01-03,69.18,35.35,45.3
2021-01-04,87.64,44.94,60.9
2021-01-05,91.0,44.17,60.15
2021-01-06,89.34,42.69,59.39
2021-01-07,90.95,43.69,60.48
2021-01-08,101.23,47.03,67.65
2021-01-09,99.97,48.8,72.48
2021-01-10,79.12,41.5,56.7
2021-01-11,86.1,43.73,56.67
2021-01-12,90.6,45.54,60.61
2021-01-13,89.93,44.82,60.27
2021-01-14,92.59,46.38,63.22
2021-01-15,104.96,48.95,70.9
2021-01-16,101.3,51.11,77.6
2021-01-17,83.42,44.55,63.88
2021-01-18,91.36,46.19,63.68
2021-01-19,88.29,44.95,57.68
2021-01-20,86.62,42.91,56.5
2021-01-21,91.56,46.29,60.7
2021-01-22,104.49,50.79,72.35
2021-01-23,101.06,50.12,72.11
2021-01-24,77.86,41.47,53.0
2021-01-25,85.67,44.25,56.18
2021-01-26,79.21,41.75,51.75
2021-01-27,88.29,44.89,58.55
2021-01-28,90.96,44.57,58.04
2021-01-29,101.18,45.17,62.15
2021-01-30,101.88,48.46,71.0
2021-01-31,73.49,37.52,48.29
2021-02-01,29.24,31.49,26.2
2021-02-02,51.95,38.96,39.74
2021-02-03,82.24,47.95,56.62
2021-02-04,92.61,49.5,63.62
2021-02-05,103.59,53.23,73.76
2021-02-06,105.58,56.69,82.13
2021-02-07,52.05,36.84,40.51
2021-02-08,83.49,46.25,54.94
2021-02-09,84.17,45.22,55.14
2021-02-10,91.66,48.34,60.36
2021-02-11,90.94,48.42,59.87
2021-02-12,110.32,56.88,78.02
2021-02-13,105.82,58.03,86.04
2021-02-14,87.87,50.41,78.0
2021-02-15,79.38,46.49,56.29
2021-02-16,86.59,47.91,60.75
2021-02-17,97.2,49.47,64.19
2021-02-18,54.65,39.95,40.64
2021-02-19,84.23,50.39,60.97
2021-02-20,102.12,56.93,79.66
2021-02-21,81.09,46.32,60.56
2021-02-22,80.78,44.55,51.46
2021-02-23,91.02,49.19,61.05
2021-02-24,97.97,53.24,69.5
2021-02-25,100.45,53.37,69.5
2021-02-26,115.51,59.3,83.29
2021-02-27,107.24,57.19,84.85
2021-02-28,82.29,45.46,58.27
2021-03-01,90.64,49.76,61.36
2021-03-02,93.74,49.45,61.41
2021-03-03,99.76,54.22,70.64
2021-03-04,99.24,52.58,67.15
2021-03-05,115.47,59.82,80.81
2021-03-06,112.89,61.25,88.32
2021-03-07,88.3,49.37,67.59
2021-03-08,92.74,50.18,63.26
2021-03-09,99.67,55.16,74.94
2021-03-10,101.19,55.13,72.94
2021-03-11,107.79,59.41,83.05
2021-03-12,,,
2021-03-13,120.6,66.01,103.34
2021-03-14,93.15,51.24,71.65
2021-03-15,95.92,51.72,64.28
2021-03-16,97.87,51.93,65.16
2021-03-17,102.88,55.54,73.71
2021-03-18,100.84,52.39,65.49
2021-03-19,122.11,64.27,89.96
2021-03-20,127.48,71.42,116.37
2021-03-21,102.58,58.16,89.46
2021-03-22,102.11,57.38,75.66
2021-03-23,105.89,58.26,78.22
2021-03-24,102.82,54.44,67.59
2021-03-25,112.0,61.31,84.34
2021-03-26,131.81,71.72,104.12
2021-03-27,132.83,78.01,124.12
2021-03-28,86.56,49.34,64.85
2021-03-29,105.78,59.93,78.35
2021-03-30,116.9,64.34,88.27
2021-03-31,110.72,59.61,77.38
2021-04-01,114.31,62.32,82.22
2021-04-02,125.54,67.7,93.93
2021-04-03,126.17,70.84,110.18
2021-04-04,88.16,54.61,73.8
2021-04-05,112.24,62.2,82.6
2021-04-06,114.69,66.56,87.16
2021-04-07,116.1,66.58,88.34
2021-04-08,120.86,68.87,94.18
2021-04-09,132.96,75.01,104.03
2021-04-10,135.41,79.26,125.22
2021-04-11,93.71,54.1,68.01
2021-04-12,103.27,59.42,69.53
2021-04-13,112.99,65.82,85.59
2021-04-14,113.84,64.97,85.22
2021-04-15,109.01,61.73,73.57
2021-04-16,135.42,76.38,103.44
2021-04-17,137.68,84.53,127.02
2021-04-18,110.2,67.26,95.83
2021-04-19,108.92,64.32,82.26
2021-04-20,119.86,70.87,96.78
2021-04-21,108.34,61.16,75.9
2021-04-22,115.81,65.72,83.19
2021-04-23,141.27,81.36,114.82
2021-04-24,146.03,89.55,138.79
2021-04-25,99.61,60.22,80.99
2021-04-26,110.64,64.68,81.15
2021-04-27,114.56,66.0,84.27
2021-04-28,123.62,72.65,97.57
2021-04-29,116.58,66.72,84.93
2021-04-30,141.39,81.47,111.05
2021-05-01,145.28,89.06,136.86
2021-05-02,116.31,71.18,102.05
2021-05-03,110.17,65.77,80.34
2021-05-04,117.18,70.23,90.86
2021-05-05,115.32,67.54,82.44
2021-05-06,127.28,75.28,100.11
2021-05-07,145.76,85.66,118.68
2021-05-08,140.89,80.76,116.45
2021-05-09,110.3,61.21,80.47
2021-05-10,114.3,68.58,84.98
2021-05-11,120.92,73.29,92.5
2021-05-12,124.82,75.26,98.08
2021-05-13,133.29,82.33,110.51
2021-05-14,152.82,93.36,133.99
2021-05-15,155.62,101.97,157.84
2021-05-16,119.27,75.83,107.19
2021-05-17,119.85,74.49,98.81
2021-05-18,127.62,78.83,105.32
2021-05-19,134.85,82.48,110.41
2021-05-20,138.04,84.52,113.88
2021-05-21,159.93,100.97,141.54
2021-05-22,158.95,107.6,158.06
2021-05-23,133.52,86.58,116.57
2021-05-24,123.86,79.11,99.01
2021-05-25,132.57,83.93,108.35
2021-05-26,135.79,86.48,106.27
2021-05-27,150.56,92.44,121.29
2021-05-28,153.23,89.02,115.98
2021-05-29,127.98,80.46,114.42
2021-05-30,104.31,67.83,88.76
2021-05-31,113.12,80.41,105.69
2021-06-01,131.66,86.47,107.9
2021-06-02,135.83,88.88,112.47
2021-06-03,131.72,85.99,106.1
2021-06-04,161.24,103.45,135.44
2021-06-05,176.34,125.34,175.18
2021-06-06,143.12,96.41,123.38
2021-06-07,134.89,91.05,111.72
