date,congestion,diffRatio
2020-09-23,31,0.3478260869565217
2020-09-24,32,0.3333333333333333
2020-09-25,37,0.3703703703703704
2020-09-26,27,0.4210526315789473
2020-09-27,10,0.25
2020-09-28,38,0.6521739130434783
2020-09-29,45,0.875
2020-09-30,54,1.3478260869565215
2020-10-01,14,-0.4166666666666667
2020-10-02,10,-0.6296296296296297
2020-10-03,21,0.1052631578947368
2020-10-04,7,-0.125
2020-10-05,39,0.6956521739130435
2020-10-06,29,0.2083333333333333
2020-10-07,28,0.217391304347826
2020-10-08,30,0.25
2020-10-09,34,0.2592592592592592
2020-10-10,23,0.2105263157894736
2020-10-11,8,0.0
2020-10-12,30,0.3043478260869565
2020-10-13,1,-0.9583333333333334
2020-10-14,36,0.5652173913043478
2020-10-15,34,0.4166666666666667
2020-10-16,35,0.2962962962962963
2020-10-17,24,0.2631578947368421
2020-10-18,8,0.0
2020-10-19,27,0.1739130434782608
2020-10-20,30,0.25
2020-10-21,27,0.1739130434782608
2020-10-22,29,0.2083333333333333
2020-10-23,31,0.1481481481481481
2020-10-24,23,0.2105263157894736
2020-10-25,9,0.125
2020-10-26,8,-0.6521739130434783
2020-10-27,30,0.25
2020-10-28,35,0.5217391304347826
2020-10-29,31,0.2916666666666667
2020-10-30,33,0.2222222222222222
2020-10-31,25,0.3157894736842105
2020-11-01,9,0.125
2020-11-02,28,0.217391304347826
2020-11-03,26,0.0833333333333333
2020-11-04,26,0.1304347826086956
2020-11-05,28,0.1666666666666666
2020-11-06,31,0.1481481481481481
2020-11-07,22,0.1578947368421052
2020-11-08,7,-0.125
2020-11-09,25,0.0869565217391304
2020-11-10,25,0.0416666666666666
2020-11-11,25,0.0869565217391304
2020-11-12,26,0.0833333333333333
2020-11-13,29,0.074074074074074
2020-11-14,20,0.0526315789473684
2020-11-15,8,0.0
2020-11-16,24,0.0434782608695652
2020-11-17,26,0.0833333333333333
2020-11-18,24,0.0434782608695652
2020-11-19,24,0.0
2020-11-20,29,0.074074074074074
2020-11-21,22,0.1578947368421052
2020-11-22,7,-0.125
2020-11-23,25,0.0869565217391304
2020-11-24,21,-0.125
2020-11-25,20,-0.1304347826086956
2020-11-26,22,-0.0833333333333333
2020-11-27,24,-0.1111111111111111
2020-11-28,19,0.0
2020-11-29,6,-0.25
2020-11-30,22,-0.0434782608695652
2020-12-01,21,-0.125
2020-12-02,17,-0.2608695652173913
2020-12-03,35,0.4583333333333333
