date,congestion,diffRatio
16/11/20,26,-0.212121212
17/11/20,28,-0.243243243
18/11/20,29,-0.236842105
19/11/20,27,-0.307692308
20/11/20,29,-0.236842105
21/11/20,17,-0.392857143
22/11/20,12,-0.47826087
23/11/20,27,-0.181818182
24/11/20,27,-0.27027027
25/11/20,29,-0.236842105
26/11/20,30,-0.230769231
27/11/20,29,-0.236842105
28/11/20,17,-0.392857143
29/11/20,11,-0.52173913
30/11/20,28,-0.151515152
1/12/20,30,-0.189189189
2/12/20,39,0.026315789
3/12/20,46,0.179487179
4/12/20,41,0.078947368
5/12/20,30,0.071428571
6/12/20,19,-0.173913043
7/12/20,36,0.090909091
8/12/20,40,0.081081081
9/12/20,37,-0.026315789
10/12/20,39,0
11/12/20,39,0.026315789
12/12/20,27,-0.035714286
13/12/20,18,-0.217391304
14/12/20,38,0.151515152
15/12/20,42,0.135135135
16/12/20,33,-0.131578947
17/12/20,31,-0.205128205
18/12/20,32,-0.157894737
19/12/20,25,-0.107142857
20/12/20,11,-0.52173913
21/12/20,20,-0.393939394
22/12/20,20,-0.459459459
23/12/20,21,-0.447368421
24/12/20,19,-0.512820513
25/12/20,4,-0.894736842
26/12/20,7,-0.75
27/12/20,9,-0.608695652
28/12/20,8,-0.757575758
29/12/20,12,-0.675675676
30/12/20,14,-0.631578947
31/12/20,14,-0.641025641
4/1/21,16,-0.515151515
5/1/21,17,-0.540540541
6/1/21,17,-0.552631579
7/1/21,16,-0.58974359
8/1/21,17,-0.552631579
9/1/21,13,-0.535714286
10/1/21,8,-0.652173913
11/1/21,17,-0.484848485
12/1/21,18,-0.513513514
13/1/21,18,-0.526315789
14/1/21,20,-0.487179487
15/1/21,19,-0.5
16/1/21,13,-0.535714286
17/1/21,10,-0.565217391
18/1/21,18,-0.454545455
19/1/21,19,-0.486486486
20/1/21,19,-0.5
21/1/21,18,-0.538461538
22/1/21,20,-0.473684211
23/1/21,15,-0.464285714
24/1/21,13,-0.434782609
25/1/21,21,-0.363636364
26/1/21,21,-0.432432432
27/1/21,21,-0.447368421
28/1/21,24,-0.384615385
29/1/21,22,-0.421052632
30/1/21,15,-0.464285714
31/1/21,11,-0.52173913
1/2/21,20,-0.393939394
2/2/21,22,-0.405405405
3/2/21,21,-0.447368421
4/2/21,21,-0.461538462
5/2/21,24,-0.368421053
6/2/21,17,-0.392857143
7/2/21,10,-0.565217391
8/2/21,22,-0.333333333
9/2/21,21,-0.432432432
10/2/21,22,-0.421052632
11/2/21,23,-0.41025641
12/2/21,25,-0.342105263
13/2/21,22,-0.214285714
14/2/21,13,-0.434782609
15/2/21,28,-0.151515152
16/2/21,25,-0.324324324
17/2/21,26,-0.315789474
18/2/21,24,-0.384615385
19/2/21,27,-0.289473684
20/2/21,22,-0.214285714
21/2/21,14,-0.391304348
