,duration,city,suburb,city_suburb,total,mean_duration,median_duration,max_duration,_5,6_10,11_15,16_20,21_25,26_30,31_40,41_50,51_60,61_120,120_
2020-11-23,442973.0,4697,9410,6796,21440,20.66105410447761,15.0,2114.0,2226,4543,4360,3559,2588,1472,813,355,243,502,242
2020-11-24,441888.0,4917,9617,7290,22363,19.759781782408442,15.0,745.0,2324,4626,4474,3754,2760,1496,906,410,290,545,239
2020-11-25,441436.0,4861,9097,7352,21860,20.19377859103385,14.0,7986.0,2323,4914,4485,3533,2616,1451,808,357,213,414,196
2020-11-26,529915.0,5394,9974,7471,23443,22.604402166958153,15.0,7372.0,2439,4995,4634,3870,2832,1544,901,439,283,622,280
2020-11-27,535940.0,5604,10012,7236,23365,22.93772736999786,15.0,5352.0,2316,4890,4461,3964,2819,1586,998,464,311,681,362
2020-11-28,1097627.0,8243,14827,10011,33876,32.40131656630063,20.0,3529.0,2279,4521,5215,5159,4890,3047,2392,1333,803,2229,1213
2020-11-29,807120.0,5871,12620,7700,26717,30.209978665269304,19.0,2862.0,1803,3889,4277,4186,3544,2309,1897,995,675,1843,773
2020-11-30,362983.0,4502,7838,6169,18998,19.106379618907255,14.0,1535.0,2071,4315,3916,3228,2188,1125,617,324,177,377,171
2020-12-01,413576.0,4976,9105,7145,21837,18.939231579429407,14.0,637.0,2238,4693,4516,3625,2564,1443,866,393,182,499,207
2020-12-02,439089.0,5409,9968,8352,24354,18.029440748952943,13.0,8760.0,2818,6078,5345,3924,2741,1282,740,241,123,283,154
2020-12-03,256113.0,3187,6118,4816,14451,17.722856549719744,12.0,6521.0,1983,3881,3251,2112,1379,727,399,128,54,143,64
2020-12-04,430908.0,4971,9489,7358,22387,19.248135078393712,13.0,5028.0,2780,5421,4848,3447,2342,1218,780,294,157,332,199
2020-12-05,777912.0,7527,12844,9892,31014,25.082607854517313,17.0,4152.0,2744,5576,5723,4776,3865,2407,1980,907,604,1156,525
2020-12-06,485378.0,4455,9019,6413,20323,23.883186537420656,16.0,2951.0,1923,3884,3838,3221,2476,1502,1184,523,302,727,307
2020-12-07,317643.0,4368,7946,6777,19573,16.228631277780615,13.0,1549.0,2459,4902,4379,3142,2031,1013,562,235,108,193,67
2020-12-08,348598.0,4905,8481,7464,21391,16.296479827965033,13.0,871.0,2605,5349,4780,3395,2210,1141,647,264,121,235,103
2020-12-09,415091.0,5266,9148,7836,22758,18.239344406362598,13.0,8828.0,2740,5656,5037,3723,2390,1258,706,288,120,211,121
2020-12-10,411864.0,5356,9285,8027,23258,17.708487402184193,13.0,6572.0,2800,5942,5187,3659,2384,1234,725,258,136,225,118
2020-12-11,524258.0,5949,9986,8233,24680,21.242220421393842,14.0,6570.0,2808,5782,5137,3914,2834,1519,952,366,194,429,233
2020-12-12,741094.0,7020,12276,8828,28846,25.691395687443666,16.0,4218.0,2724,5235,5285,4566,3369,2123,1858,837,541,1129,457
2020-12-13,297899.0,2866,6039,3856,13044,22.838009812940815,14.0,3520.0,1532,2877,2549,2025,1428,886,569,259,151,342,143
2020-12-14,284478.0,3572,6521,5302,15796,18.009496074955685,13.0,1814.0,2034,3991,3426,2516,1602,835,477,163,89,183,79
2020-12-15,451508.0,6308,10184,8599,25748,17.535653254621717,14.0,676.0,2903,5947,5316,4134,2975,1706,1010,389,208,358,145
2020-12-16,335736.0,3682,7452,5830,17375,19.32293525179856,13.0,7855.0,2098,4356,3812,2773,1738,942,513,209,136,265,122
2020-12-17,485107.0,5198,9746,7226,22699,21.37129388959866,14.0,7453.0,2407,5060,4691,3779,2621,1393,871,374,228,482,264
2020-12-18,405846.0,4399,7912,5578,18323,22.14953883097746,14.0,5476.0,2241,4233,3746,2866,1909,1007,670,331,174,474,238
2020-12-19,392567.0,3651,7725,4722,16422,23.904944586530263,15.0,4156.0,1723,3311,3114,2553,1892,1190,775,410,294,588,248
2020-12-20,487364.0,3481,8742,4648,17165,28.392892513836294,18.0,1946.0,1272,2642,2951,2792,2303,1504,1029,528,427,997,426
2020-12-21,226722.0,2348,5083,3406,11059,20.501130301112216,14.0,2352.0,1263,2417,2216,1754,1230,713,443,236,138,315,112
2020-12-22,299704.0,3017,6850,4376,14559,20.58547977196236,15.0,981.0,1527,3035,2819,2339,1712,943,638,331,222,514,163
2020-12-23,307608.0,2603,6409,3768,13041,23.587761674718198,14.0,8914.0,1455,2952,2550,1996,1520,819,510,274,127,392,185
2020-12-24,407668.0,3062,7740,4289,15453,26.381155762635085,16.0,5596.0,1659,2938,2790,2258,1891,1134,783,404,268,692,274
2020-12-25,632098.0,3614,8339,5223,17451,36.22130536931981,21.0,5435.0,796,1809,2580,2975,2652,1774,1367,748,529,1382,564
2020-12-26,406807.0,2567,6180,3430,12386,32.84409817535928,20.0,3160.0,809,1668,1854,1956,1710,1195,803,453,395,906,428
2020-12-27,540043.0,3615,8738,4774,17466,30.91967250658422,20.0,3075.0,1101,2213,2539,2833,2590,1660,1243,698,491,1277,482
2020-12-28,333438.0,2480,6352,3387,12443,26.797235393393876,18.0,1695.0,1053,2048,2009,2077,1574,963,761,412,276,788,258
2020-12-29,368659.0,3022,7059,4035,14378,25.64049241897343,17.0,1264.0,1311,2465,2416,2228,1784,1210,910,370,248,830,344
2020-12-30,489038.0,3441,8383,4717,16882,28.968013268570076,18.0,9540.0,1523,2742,2764,2544,2176,1491,1038,552,379,967,365
2020-12-31,428571.0,3134,7298,4121,14832,28.89502427184466,16.0,5858.0,1579,2786,2547,2159,1729,1112,839,412,311,729,350
2021-01-01,331553.0,2511,5201,2924,10829,30.61713916335765,19.0,5774.0,762,1483,1759,1746,1596,1030,674,403,237,677,269
2021-01-02,523468.0,3408,8749,4856,17316,30.23030723030723,19.0,4408.0,1296,2284,2791,2770,2331,1612,1253,671,451,1120,434
2021-01-03,384742.0,2520,7210,3550,13448,28.60960737656157,19.0,2831.0,1032,2075,2171,2122,1845,1123,916,533,347,812,304
2021-01-04,192517.0,2128,4674,3231,10271,18.74374452341544,14.0,1500.0,1261,2384,2113,1636,1080,645,393,154,91,192,84
2021-01-05,158280.0,1942,4225,3015,9424,16.79541595925297,14.0,513.0,1173,2171,1982,1498,1074,590,340,126,58,129,41
2021-01-06,263004.0,2382,5789,3831,12237,21.492522677126747,15.0,8095.0,1337,2497,2415,1980,1479,863,562,290,155,310,114
2021-01-07,262778.0,2409,5924,3849,12448,21.110057840616967,14.0,7003.0,1400,2621,2554,1969,1533,825,479,270,139,283,109
2021-01-08,251587.0,2115,5353,3543,11264,22.335493607954547,14.0,5834.0,1365,2544,2225,1817,1304,717,423,201,102,223,90
2021-01-09,568199.0,3215,10320,5605,19463,29.19380362739557,19.0,4322.0,1356,2777,3032,2976,2720,1798,1487,784,481,1229,500
2021-01-10,384375.0,2352,7294,3729,13643,28.17378875613868,18.0,3236.0,1103,2101,2198,2145,1867,1161,891,495,308,816,290
2021-01-11,226624.0,2317,5343,3630,11550,19.62112554112554,14.0,1728.0,1322,2524,2363,1946,1319,734,423,195,128,237,99
2021-01-12,208979.0,2373,5392,3564,11607,18.004566210045663,14.0,460.0,1388,2532,2319,1947,1331,713,456,193,128,255,67
2021-01-13,160377.0,1599,3906,2820,8512,18.841282894736842,14.0,4307.0,1043,1998,1703,1382,948,577,317,113,74,121,49
2021-01-14,114140.0,1257,3163,2104,6672,17.107314148681056,13.0,1645.0,858,1616,1377,1101,724,396,205,84,45,90,28
2021-01-15,313874.0,2579,6685,4310,13853,22.657474915180828,15.0,5966.0,1503,2824,2736,2307,1705,999,610,257,156,341,136
2021-01-16,318719.0,2178,6449,3374,12174,26.18030228355512,17.0,4366.0,1028,2064,2238,1982,1617,968,706,344,288,570,196
2021-01-17,749435.0,4052,12959,7172,24580,30.489625711960944,21.0,2674.0,1400,3022,3618,3929,3696,2536,1884,1003,670,1689,736
2021-01-18,267214.0,2661,5870,4014,12843,20.806197928832827,14.0,1501.0,1396,2769,2631,2035,1536,855,485,235,146,302,155
2021-01-19,237849.0,2438,5767,4097,12569,18.923462487071365,14.0,1290.0,1407,2711,2605,2027,1549,813,511,221,106,242,110
2021-01-20,164202.0,1876,4104,2947,9116,18.01250548486178,14.0,2797.0,1158,2113,1895,1465,1034,558,334,113,63,153,41
2021-01-21,331261.0,2915,6966,4738,14954,22.15199946502608,15.0,5522.0,1541,3076,2929,2413,1919,1068,694,257,157,389,176
2021-01-22,387181.0,3130,8229,4996,16665,23.233183318331832,16.0,5306.0,1580,3341,3137,2693,2085,1288,803,368,237,583,240
2021-01-23,730526.0,4183,12379,7240,24137,30.265815967187304,20.0,4331.0,1526,3331,3755,3900,3515,2318,1781,991,600,1482,603
2021-01-24,156420.0,1215,3382,1866,6560,23.84451219512195,15.0,3285.0,698,1319,1229,1067,824,474,310,145,103,211,83
2021-01-25,269122.0,2565,6089,4193,13123,20.50765830983769,15.0,1934.0,1344,2750,2612,2235,1523,934,564,250,152,353,130
2021-01-26,187923.0,2226,4756,3529,10762,17.46171715294555,14.0,842.0,1327,2494,2218,1781,1162,664,381,139,106,173,66
2021-01-27,279835.0,2378,5657,4088,12386,22.592846762473762,14.0,8972.0,1271,2743,2583,2031,1518,793,484,217,144,240,99
2021-01-28,310752.0,2704,6225,4392,13627,22.804138842004843,15.0,4949.0,1389,2929,2730,2287,1655,861,578,234,160,348,150
2021-01-29,333823.0,2904,6794,4676,14654,22.780333014876483,15.0,4169.0,1494,3023,2845,2362,1875,1061,619,283,195,408,209
2021-01-30,176837.0,1397,4146,2164,7823,22.604755208999105,15.0,3134.0,875,1699,1470,1191,842,510,392,224,120,291,93
2021-01-31,470693.0,2786,8526,4915,16505,28.518206604059376,19.0,3445.0,1171,2431,2729,2764,2264,1499,1156,579,378,922,334
2021-02-01,247535.0,2474,5594,4023,12413,19.94159349069524,14.0,2223.0,1332,2668,2596,2073,1471,839,481,183,104,230,114
2021-02-02,271187.0,2896,6503,4509,14250,19.030666666666665,15.0,1198.0,1457,2990,2849,2454,1683,1062,535,261,171,336,110
2021-02-03,278672.0,2673,5714,4234,12884,21.629307668425955,14.0,6803.0,1452,2848,2565,2154,1513,868,482,207,116,305,111
2021-02-04,212435.0,2154,5012,3642,11056,19.21445369030391,14.0,6677.0,1285,2575,2279,1826,1209,687,408,168,116,178,77
2021-02-05,483698.0,3764,9304,5874,19272,25.098484848484848,16.0,5226.0,1777,3591,3639,3226,2428,1511,973,443,322,730,302
2021-02-06,509337.0,3194,9687,5641,18835,27.0420493761614,18.0,4424.0,1435,2983,3087,3023,2642,1705,1285,608,440,927,387
2021-02-07,137829.0,1114,3343,1654,6195,22.248426150121066,14.0,2620.0,766,1417,1194,1003,642,398,243,120,75,184,69
2021-02-08,106558.0,1366,2962,2130,6631,16.069672749208266,13.0,1812.0,855,1694,1420,1041,692,367,207,67,39,52,24
2021-02-09,114564.0,1565,3099,2312,7156,16.009502515371715,13.0,642.0,939,1810,1506,1157,707,413,220,88,34,71,31
2021-02-10,233873.0,2343,5435,3570,11592,20.175379572118704,14.0,4290.0,1406,2707,2408,1793,1347,703,425,193,69,231,66
2021-02-11,205532.0,2306,4999,3481,11022,18.64743240791145,13.0,7041.0,1430,2612,2268,1759,1235,635,366,173,87,156,65
2021-02-12,231278.0,2354,5580,3543,11738,19.703356619526325,13.0,4642.0,1568,2761,2454,1761,1278,720,395,149,91,220,80
2021-02-13,419396.0,2728,8057,4653,15740,26.64523506988564,17.0,4378.0,1462,2685,2702,2474,1998,1288,1032,526,306,678,287
2021-02-14,393339.0,2529,7130,3896,13839,28.422501625840017,18.0,2937.0,1128,2146,2265,2233,1879,1166,930,491,347,674,296
2021-02-15,302003.0,2613,6239,4180,13312,22.6865234375,15.0,1524.0,1273,2722,2584,2187,1582,885,566,321,198,481,233
2021-02-16,233588.0,2441,5557,3914,12162,19.20638052951817,14.0,1346.0,1345,2640,2389,2054,1407,846,460,199,150,309,113
2021-02-17,299458.0,2560,5882,4124,12820,23.358658346333854,14.0,9110.0,1429,2842,2598,2017,1513,815,507,207,139,344,155
2021-02-18,357367.0,3426,7375,4956,16086,22.216026358324008,15.0,4275.0,1577,3290,3180,2574,1977,1186,696,345,236,517,179
2021-02-19,422530.0,3587,8221,5284,17394,24.29170978498333,15.0,5811.0,1829,3463,3297,2727,2173,1224,851,378,229,595,326
2021-02-20,1335685.0,7963,18779,11978,39331,33.960107803005265,21.0,5079.0,2073,4406,5727,6014,5741,4136,3341,1820,1145,2808,1509
2021-02-21,1129438.0,6271,16723,9602,33111,34.11065808945668,21.0,3111.0,1765,3828,4730,5146,4849,3329,2668,1390,997,2551,1343
2021-02-22,272900.0,2939,6145,4361,13787,19.794008848915645,15.0,1753.0,1417,3003,2804,2343,1597,870,552,247,146,350,116
2021-02-23,476362.0,4546,9698,6647,21344,22.3183095952024,16.0,673.0,1856,3952,3996,3563,2824,1673,1063,538,361,748,317
2021-02-24,530005.0,4520,10198,6823,22021,24.06816220880069,16.0,5411.0,2011,4072,4167,3691,2741,1729,1060,542,367,801,360
2021-02-25,383202.0,3854,8260,5772,18264,20.981274638633376,15.0,4284.0,1880,3913,3637,3044,2183,1192,773,321,261,448,234
2021-02-26,846226.0,6172,13939,8595,29264,28.91696282121378,18.0,5353.0,2380,4961,5022,4596,3852,2425,1751,842,657,1395,825
2021-02-27,1950256.0,10067,25495,15264,51673,37.74226385152788,23.0,4321.0,2532,5120,6767,7607,7517,5502,4680,2633,1781,4292,2395
2021-02-28,1036937.0,5964,15651,8818,30962,33.49063367999483,21.0,3832.0,1815,3811,4429,4706,4446,2894,2470,1374,906,2441,1141
2021-03-01,394466.0,3684,8499,5479,17999,21.91599533307406,15.0,1822.0,1782,3644,3436,2966,2258,1265,851,389,248,605,218
2021-03-02,396154.0,4108,8424,5961,18909,20.950552646887726,16.0,851.0,1688,3828,3685,3256,2347,1328,848,424,245,593,251
2021-03-03,240720.0,2648,5459,3884,12281,19.601009689764677,13.0,4668.0,1440,2957,2548,1977,1336,706,442,154,110,218,103
2021-03-04,332177.0,3283,6844,4904,15354,21.634557769962225,14.0,7444.0,1747,3438,3134,2491,1778,993,551,248,162,327,162
2021-03-05,462214.0,4236,9458,5993,20112,22.98200079554495,15.0,5826.0,2166,4113,3855,3149,2326,1391,937,465,293,691,301
2021-03-06,965043.0,6358,14723,8840,30461,31.681264567808018,20.0,4612.0,2066,4245,4742,4676,4234,2803,2267,1189,831,1893,975
2021-03-07,875520.0,5478,14575,8023,28530,30.687697160883282,20.0,2659.0,1924,3726,4370,4501,4006,2603,2117,1091,750,2058,930
2021-03-08,406208.0,3850,8387,5745,18357,22.128234460968567,15.0,1800.0,1826,3789,3603,3132,2263,1265,757,345,245,497,260
2021-03-09,584050.0,5336,11464,7932,25222,23.15637142177464,17.0,969.0,2083,4551,4751,4200,3387,1980,1313,629,402,977,459
2021-03-10,215086.0,2350,4834,3688,11125,19.333573033707864,13.0,5052.0,1318,2836,2419,1847,1186,559,332,118,74,128,55
2021-03-11,333766.0,3505,7632,5108,16641,20.05684754521964,14.0,8092.0,1888,3823,3520,2652,1862,1060,561,267,159,331,122
2021-03-12,414759.0,3883,8698,5819,18780,22.085143769968052,14.0,5220.0,2041,4178,3650,3064,2075,1247,832,367,222,504,220
2021-03-13,689196.0,4886,11645,6876,23810,28.94565308693826,18.0,4664.0,1942,3698,4037,3813,3031,1932,1611,814,562,1336,631
2021-03-14,593133.0,4059,10904,6406,21735,27.289302967563838,19.0,3540.0,1573,3359,3535,3520,3123,1899,1392,731,494,1273,470
2021-03-15,316404.0,3421,7184,5305,16296,19.416053019145803,14.0,1474.0,1715,3658,3202,2677,1985,1005,628,300,178,411,151
2021-03-16,351617.0,3778,8272,6158,18664,18.839316330904413,14.0,551.0,1962,4037,3823,3127,2192,1267,714,300,202,418,166
2021-03-17,385092.0,3787,8393,6093,18701,20.59205390086092,15.0,8011.0,1894,4093,3881,3071,2234,1297,689,295,226,426,167
2021-03-18,319575.0,3373,7311,5632,16713,19.12134266738467,14.0,5479.0,1877,3888,3545,2757,1852,964,595,271,146,311,110
2021-03-19,655523.0,5597,12412,7953,26505,24.732050556498773,16.0,5798.0,2406,4981,4888,4264,3499,1973,1334,671,412,1040,494
2021-03-20,1179150.0,7707,16239,9850,34447,34.23084738874213,20.0,4419.0,2179,4423,5234,5177,4839,3160,2599,1320,991,2480,1394
2021-03-21,1020522.0,6677,16035,9138,32505,31.39584679280111,20.0,3641.0,1970,4134,5004,5168,4596,3162,2387,1212,887,2186,1144
2021-03-22,596655.0,5290,11227,7894,24958,23.906362689318055,16.0,1958.0,2084,4513,4708,4135,3256,1937,1308,650,432,925,463
2021-03-23,497920.0,4864,10642,7644,23686,21.021700582622646,16.0,890.0,2219,4680,4611,3951,3005,1723,1054,534,361,725,287
2021-03-24,502496.0,4873,10073,7258,22729,22.108143781072638,15.0,5133.0,2243,4605,4452,3907,2801,1579,941,429,292,663,292
2021-03-25,437334.0,4219,9186,6478,20330,21.511756025577963,15.0,5424.0,1981,4394,4149,3365,2461,1351,889,387,251,439,216
2021-03-26,384695.0,3742,7829,5388,17353,22.168789258341498,14.0,4769.0,2021,3916,3591,2734,1839,1010,705,309,195,420,219
2021-03-27,1346399.0,8707,18754,11467,39620,33.98281171125694,21.0,4211.0,2370,4910,5817,5960,5486,3837,3123,1744,1138,2926,1617
2021-03-28,721126.0,4840,11654,6632,23595,30.5626615808434,19.0,3584.0,1700,3387,3787,3746,3204,2033,1616,811,533,1595,714
2021-03-29,926837.0,7164,16106,10170,34153,27.137791702046673,18.0,1590.0,2546,5635,6022,5501,4516,2900,1981,1056,697,1687,899
2021-03-30,1538517.0,11189,22782,14341,49114,31.325426558618723,19.0,944.0,3217,7063,7732,7691,6545,4351,3445,1822,1268,3154,2024
2021-03-31,1250967.0,9738,17782,11560,39837,31.402138715264705,18.0,8550.0,2996,6257,6774,6210,5410,3333,2414,1246,924,2065,1451
2021-04-01,1033642.0,8702,16333,10204,35923,28.773821785485623,17.0,6802.0,2941,6179,6314,5636,4512,2891,2068,1058,774,1915,951
2021-04-02,1372572.0,9097,18103,10643,38426,35.719877166501846,21.0,6308.0,2502,5155,5542,5511,4962,3588,3092,1668,1193,2831,1799
2021-04-03,1168004.0,8306,15306,9146,33399,34.971226683433635,21.0,4950.0,2348,4436,4738,4724,4397,3069,2578,1464,1043,2539,1422
2021-04-04,1850103.0,11149,22017,12922,46711,39.607437220354946,23.0,3711.0,2405,4814,6159,6460,6858,4572,3961,2217,1618,4201,2823
2021-04-05,823641.0,6392,12666,6889,26358,31.248235829729115,19.0,2013.0,2025,3838,4200,3929,3428,2286,1862,1007,718,1743,911
2021-04-06,509402.0,5537,9472,6428,21920,23.239142335766424,16.0,678.0,2096,4108,4119,3401,2751,1587,1120,536,356,957,406
2021-04-07,638674.0,6127,10465,7027,24087,26.515298708847094,16.0,8103.0,2262,4542,4539,3757,2910,1738,1222,631,424,1050,544
2021-04-08,733173.0,6926,11427,7848,26707,27.452465645710863,17.0,7201.0,2418,4841,4841,4246,3346,2064,1351,699,446,1253,696
2021-04-09,842214.0,7602,13003,8728,29963,28.10846710943497,17.0,5584.0,2652,5269,5291,4664,3635,2252,1643,851,591,1578,907
2021-04-10,708678.0,5543,10763,6580,23306,30.407534540461683,18.0,5332.0,2045,3954,3852,3444,2792,1823,1405,794,626,1446,705
2021-04-11,950997.0,6971,14538,8924,30912,30.76465450310559,20.0,2943.0,2219,4224,4780,4842,4307,2794,2132,1212,875,2056,992
2021-04-12,602280.0,7001,11962,8688,28239,21.327950706469775,15.0,2015.0,3029,6137,5689,4456,3138,1863,1202,586,392,775,384
2021-04-13,578768.0,7104,11898,9108,28780,20.110076441973593,15.0,661.0,2942,6338,5810,4755,3159,1797,1266,544,374,796,329
2021-04-14,713899.0,7354,12675,9680,30466,23.432646228582684,14.0,8974.0,3170,6650,6269,4872,3443,1854,1304,571,340,822,414
2021-04-15,568511.0,6059,10662,8465,25780,22.052404965089217,14.0,7580.0,2825,5948,5228,4194,2838,1587,1033,428,272,582,251
2021-04-16,799334.0,8145,14073,10431,33466,23.88495786768661,15.0,4218.0,3300,6851,6440,5217,3985,2320,1564,757,476,1119,620
2021-04-17,1274189.0,9743,18868,12832,42443,30.021181349103504,18.0,4782.0,3148,6501,7028,6632,5470,3562,3097,1556,957,2276,1216
2021-04-18,1060267.0,7491,17092,10640,35889,29.542951879405948,19.0,4218.0,2478,5300,6233,5747,4888,3177,2392,1225,875,1792,1116
2021-04-19,616340.0,6614,12847,9707,29758,20.711741380469118,15.0,2768.0,3135,6394,6143,5039,3405,1901,1214,550,324,731,332
2021-04-20,797273.0,8803,13789,11559,34859,22.871367509108122,15.0,755.0,3370,7262,6856,5597,3980,2416,1614,782,480,1060,734
2021-04-21,594771.0,6503,12738,9938,29787,19.967469030113808,14.0,8495.0,3299,7032,6342,5003,3282,1741,1100,424,250,464,242
2021-04-22,645575.0,6948,13419,10777,31767,20.322189693707305,14.0,7504.0,3278,7112,6750,5424,3698,1964,1279,515,288,569,267
2021-04-23,726553.0,7243,15429,10935,34276,21.19713502158945,15.0,6275.0,3573,7509,6861,5609,3944,2164,1595,687,415,837,413
2021-04-24,1345949.0,10352,19911,13662,44746,30.07976131944755,19.0,4484.0,3159,6868,7638,6947,5940,4072,3201,1649,1045,2131,1275
2021-04-25,772925.0,5996,13791,8953,29315,26.366194780828927,17.0,3286.0,2410,5065,5260,4664,3781,2273,1854,887,618,1274,654
2021-04-26,466233.0,5363,11325,8650,25919,17.988078243759404,13.0,1389.0,3071,6195,5597,4247,2831,1447,895,314,195,358,188
2021-04-27,518714.0,6544,12609,10372,30175,17.190190555095278,14.0,709.0,3384,6986,6681,5154,3382,1675,1085,406,210,374,188
2021-04-28,360996.0,4784,9021,7396,21648,16.675720620842572,12.0,6907.0,2794,5797,4807,3520,2107,1009,585,214,90,181,97
2021-04-29,499693.0,6232,11218,9401,27355,18.26697130323524,13.0,5714.0,3400,6668,5997,4663,2917,1447,809,315,155,304,176
2021-04-30,586209.0,6367,12660,9024,28554,20.529838201302795,14.0,5664.0,3351,6763,6088,4626,3093,1545,1095,429,254,507,300
2021-05-01,978563.0,7789,15519,10283,34225,28.592052593133673,17.0,4754.0,2794,5916,6327,5482,4234,2667,2154,1005,629,1583,800
2021-05-02,848280.0,6666,13881,9270,30249,28.043241098879303,17.0,3706.0,2474,5017,5454,4713,3807,2387,1961,1024,621,1580,779
2021-05-03,480841.0,4541,9727,6253,20842,23.07077055944727,15.0,1572.0,2267,4148,3928,3111,2341,1489,1161,606,345,784,341
2021-05-04,347268.0,5033,9422,7194,22037,15.758406316649271,13.0,668.0,2930,5693,4864,3577,2136,1126,628,229,125,233,108
2021-05-05,436859.0,5209,9243,7750,22633,19.301860115760174,13.0,7850.0,2893,5769,5092,3648,2267,1159,661,243,116,229,125
2021-05-06,487819.0,5902,11213,9369,26989,18.074734150950388,13.0,7796.0,3282,6674,5995,4355,2838,1459,869,355,172,324,161
2021-05-07,638719.0,6714,13500,10166,30954,20.634457582218776,14.0,5948.0,3506,7205,6634,5097,3458,1771,1187,429,278,546,269
2021-05-08,526969.0,4897,10250,6644,22182,23.75660445406185,15.0,2895.0,2346,4764,4426,3338,2333,1446,1148,556,374,650,410
2021-05-09,907484.0,6975,16142,10514,34038,26.66090839649803,18.0,2651.0,2593,5684,6103,5653,4673,2875,2151,964,664,1472,799
2021-05-10,449821.0,5666,11326,8544,25958,17.328800369828183,13.0,1260.0,3181,6396,5511,4228,2826,1505,878,292,182,366,171
2021-05-11,520037.0,6777,12525,10420,30218,17.209510887550465,14.0,796.0,3434,7215,6565,4990,3311,1872,1082,436,219,448,150
2021-05-12,626833.0,6980,13430,10540,31453,19.929195943153275,14.0,8691.0,3617,7557,6852,5206,3542,1771,1098,387,217,463,240
2021-05-13,442699.0,5580,10233,8229,24494,18.073773168939333,13.0,3632.0,3118,6271,5299,3944,2483,1240,734,276,155,332,190
2021-05-14,676839.0,6954,13835,10052,31347,21.59182696908795,14.0,5277.0,3663,7400,6608,5096,3321,1800,1148,535,262,667,341
2021-05-15,708898.0,6033,13735,8259,28462,24.90682313259785,16.0,4619.0,2742,5508,5559,4492,3263,2034,1624,773,504,1038,490
2021-05-16,389876.0,3511,8643,5101,17532,22.23796486424823,15.0,2761.0,1887,3791,3477,2806,1916,1120,900,366,236,528,228
2021-05-17,329711.0,4769,8591,7115,20840,15.821065259117082,12.0,1307.0,2795,5564,4594,3306,2052,978,571,224,103,206,82
2021-05-18,447569.0,6414,10840,9564,27365,16.35552713319934,13.0,844.0,3291,6793,6066,4495,2881,1487,870,328,164,311,132
2021-05-19,520577.0,6702,12108,9895,29255,17.79446248504529,13.0,5635.0,3373,7362,6365,4724,3154,1685,935,344,192,388,183
2021-05-20,473357.0,6303,10793,9358,26984,17.54213608064038,13.0,6605.0,3413,6882,5978,4393,2753,1423,830,287,134,257,104
2021-05-21,376725.0,4980,9141,6769,21274,17.708235404719375,12.0,5496.0,3255,5730,4593,3200,1940,936,583,218,102,213,120
2021-05-22,709869.0,6708,13399,9053,29662,23.931933113073967,16.0,4304.0,2874,5963,5668,4616,3494,2123,1731,793,477,1038,383
2021-05-23,511026.0,4639,10220,6700,21893,23.34198145525967,15.0,3467.0,2396,4580,4389,3369,2510,1367,1103,542,366,633,304
2021-05-24,343282.0,4776,8745,7203,21118,16.255421914954066,12.0,2190.0,2760,5536,4775,3304,2050,1046,623,226,97,204,103
2021-05-25,467145.0,6766,11713,9814,28822,16.207931441260147,13.0,799.0,3564,7298,6361,4648,3031,1520,883,336,179,340,133
2021-05-26,593420.0,7649,12988,10980,32206,18.425759175308947,13.0,8240.0,3714,7803,7077,5305,3478,1834,1056,395,239,490,226
2021-05-27,760936.0,8969,15086,12657,37461,20.312751928672487,14.0,7090.0,3869,8394,7979,6226,4376,2363,1476,611,339,744,335
2021-05-28,666083.0,7819,14033,10184,32602,20.43074044537145,14.0,5433.0,3581,7555,6719,5082,3648,2085,1400,589,346,718,313
2021-05-29,1327528.0,11615,21933,14983,49256,26.951599805099885,18.0,4355.0,3619,7776,8760,7954,6391,4190,3675,1774,1145,2300,947
2021-05-30,1464337.0,11601,21098,13868,47191,31.030005721429934,19.0,3263.0,3242,6726,7507,7354,6260,4300,3610,1931,1259,2936,1442
2021-05-31,1670390.0,12978,23584,15235,52517,31.806653083763354,20.0,1911.0,3540,7318,8355,7804,6998,4769,4197,2179,1489,3275,1873
2021-06-01,1054423.0,11746,19030,13890,45240,23.307316534040673,16.0,868.0,3910,8445,8396,7454,5577,3541,2653,1185,907,1829,769
2021-06-02,1139273.0,11619,18795,14498,45652,24.955598878471918,16.0,8075.0,4070,8917,8778,7456,5607,3410,2468,1116,725,1603,762
2021-06-03,1140496.0,11751,19120,14954,46557,24.496767403397985,16.0,8084.0,4302,9159,9187,7605,5580,3452,2420,1097,725,1555,743
2021-06-04,448361.0,4920,10078,7158,22531,19.899738138564643,13.0,5019.0,2874,5587,4942,3483,2150,1238,773,305,220,385,199
2021-06-05,1586331.0,13181,24921,17319,56194,28.229544079439087,18.0,3960.0,3979,8574,9578,9104,7572,5069,4137,2077,1367,2671,1293
2021-06-06,1097959.0,8941,18790,12834,41089,26.721482635255178,18.0,3586.0,3130,6782,7441,6859,5423,3351,2810,1334,846,1735,854
2021-06-07,804660.0,8902,16769,12811,39140,20.558507920286154,15.0,1882.0,3696,8490,8196,6522,4654,2606,1660,754,478,967,459
2021-06-08,869611.0,9970,18596,14705,43935,19.79312620917264,15.0,1236.0,4157,9265,9251,7604,5249,2925,1921,869,518,1069,443
2021-06-09,1002801.0,10324,19799,15257,46144,21.731991158113733,15.0,8955.0,4338,9745,9439,7988,5580,3011,2141,916,534,1140,548
