,total
2020-07-06,84.51116713780019
2020-07-07,77.58679790411831
2020-07-08,52.54083700965781
2020-07-09,62.100291573290924
2020-07-10,91.95787107179513
2020-07-11,141.45174825174826
2020-07-12,177.55324562041145
2020-07-13,89.10477945882292
2020-07-14,80.13012664110607
2020-07-15,81.04410138027221
2020-07-16,108.88705299185648
2020-07-17,181.6546336844597
2020-07-18,180.25580569103064
2020-07-19,101.97063840155944
2020-07-20,95.80469715698393
2020-07-21,90.74718432377988
2020-07-22,97.91970192744034
2020-07-23,101.86781239548226
2020-07-24,129.42119608786277
2020-07-25,124.11067193675889
2020-07-26,116.38291259453672
2020-07-27,57.484942329732505
2020-07-28,137.38214087631724
2020-07-29,107.13984057435464
2020-07-30,107.90181744339526
2020-07-31,112.74514986520062
2020-08-01,125.70414383825911
2020-08-02,128.15891930155735
2020-08-03,107.85612450992039
2020-08-04,104.57484351253188
2020-08-05,112.63928600058787
2020-08-06,101.11957008508732
2020-08-07,140.86265981283773
2020-08-08,183.1454098552534
2020-08-09,148.8203082747431
2020-08-10,135.13624537861153
2020-08-11,108.30159547092126
2020-08-12,218.2852927227697
2020-08-13,89.88390935897776
2020-08-14,129.21527957825597
2020-08-15,105.08620987526346
2020-08-16,135.69056127811646
2020-08-17,96.81277337656378
2020-08-18,100.44961240310077
2020-08-19,53.95174489203316
2020-08-20,112.53121513203337
2020-08-21,98.47298245614034
2020-08-22,144.9019930818646
2020-08-23,118.5546055815454
2020-08-24,95.34542789078249
2020-08-25,72.31077314426435
2020-08-26,112.18031837117555
2020-08-27,61.902629221771434
2020-08-28,74.33926388700259
2020-08-29,94.10914822355028
2020-08-30,119.29432782492184
2020-08-31,112.49069567706842
2020-09-01,97.52535827917221
2020-09-02,93.22139673105497
2020-09-03,83.72374353898603
2020-09-04,112.90773384151183
2020-09-05,151.90028901734104
2020-09-06,142.59259259259258
2020-09-07,111.32275857343518
2020-09-08,104.03250241013635
2020-09-09,109.9038108939099
2020-09-10,105.16207434021081
2020-09-11,102.46513136555305
2020-09-12,135.75643621637258
2020-09-13,139.64107497144232
2020-09-14,94.68317777161693
2020-09-15,110.70225447006996
2020-09-16,111.48044911037591
2020-09-17,109.45257881545972
2020-09-18,111.5978966571873
2020-09-19,141.60237553421769
2020-09-20,197.35243601022162
2020-09-21,125.04162721603709
2020-09-22,212.84196671993985
2020-09-23,94.33093883135865
2020-09-24,113.77372975991067
2020-09-25,104.04934390377257
2020-09-26,137.368698544024
2020-09-27,172.08785462151914
2020-09-28,119.27052999417589
2020-09-29,130.11492359022944
2020-09-30,80.09951731124487
2020-10-01,105.02270410527291
2020-10-02,37.62456655524664
2020-10-03,82.35832507055144
2020-10-04,40.32731850608477
2020-10-05,90.40173801552818
2020-10-06,96.1132986155214
2020-10-07,97.95220854453295
2020-10-08,81.73908114389366
2020-10-09,116.29807692307692
2020-10-10,346.1406690850464
2020-10-11,211.96419566313668
2020-10-12,94.53868246275354
2020-10-13,60.84651409384112
2020-10-14,95.8810218738727
2020-10-15,99.41905111682414
2020-10-16,113.7621235324145
2020-10-17,134.30895605710185
2020-10-18,153.28373651278514
2020-10-19,120.2699325168708
2020-10-20,95.81164363070663
2020-10-21,55.980314335608824
2020-10-22,135.89633386341168
2020-10-23,111.17380703587601
2020-10-24,181.7671809256662
2020-10-25,123.80865102639295
2020-10-26,97.57735748178841
2020-10-27,68.35114998380305
2020-10-28,85.89836034736808
2020-10-29,70.88202650649606
2020-10-30,117.00715836885706
2020-10-31,159.59322504512008
2020-11-01,139.1139031244834
2020-11-02,94.69382100304794
2020-11-03,91.64981407789158
2020-11-04,120.03483747986985
2020-11-05,65.24251737039016
2020-11-06,83.29993062514454
2020-11-07,327.00795799491345
2020-11-08,168.6323851203501
2020-11-09,70.88830571233419
2020-11-10,90.0062737572425
2020-11-11,79.68329644134174
2020-11-12,89.95527066530484
2020-11-13,120.30164058436954
2020-11-14,83.04326477167331
2020-11-15,125.22118938290963
2020-11-16,66.81162494696649
2020-11-17,81.24165084721929
2020-11-18,77.95680493657868
2020-11-19,75.32781999701982
