,driving,transit,walking
2020-11-22,61.97,46.69,50.46
2020-11-23,70.82,47.97,47.52
2020-11-24,72.57,47.62,49.11
2020-11-25,73.6,46.59,48.94
2020-11-26,75.05,47.5,49.83
2020-11-27,78.72,50.13,53.58
2020-11-28,74.14,51.71,62.97
2020-11-29,61.4,47.2,46.66
2020-11-30,73.13,50.61,49.0
2020-12-01,75.64,52.95,52.09
2020-12-02,85.08,60.57,61.11
2020-12-03,91.53,63.77,60.56
2020-12-04,100.68,74.48,79.75
2020-12-05,99.5,82.08,104.39
2020-12-06,79.81,66.9,67.1
2020-12-07,85.69,64.8,63.17
2020-12-08,89.22,64.62,66.55
2020-12-09,90.29,66.81,70.08
2020-12-10,92.98,67.78,73.19
2020-12-11,102.72,79.32,89.89
2020-12-12,99.6,84.59,109.65
2020-12-13,78.38,66.44,63.74
2020-12-14,91.85,69.28,69.37
2020-12-15,100.14,73.29,83.69
2020-12-16,85.35,56.77,56.48
2020-12-17,85.92,57.6,61.61
2020-12-18,91.24,60.39,63.41
2020-12-19,81.28,53.79,59.2
2020-12-20,54.32,39.87,35.91
2020-12-21,65.7,40.4,42.0
2020-12-22,66.68,37.09,43.99
2020-12-23,66.6,37.33,42.38
2020-12-24,53.87,31.69,35.16
2020-12-25,24.49,15.54,16.04
2020-12-26,35.03,29.42,23.8
2020-12-27,44.03,32.85,31.41
2020-12-28,47.38,34.62,31.79
2020-12-29,55.36,36.66,40.39
2020-12-30,56.66,36.48,42.37
2020-12-31,56.06,34.43,40.5
2021-01-01,37.11,26.45,24.67
2021-01-02,51.87,34.41,39.95
2021-01-03,48.8,36.62,34.26
2021-01-04,56.42,37.35,37.69
2021-01-05,55.83,33.89,36.55
2021-01-06,55.46,33.01,38.63
2021-01-07,55.56,32.43,38.41
2021-01-08,60.09,33.25,40.69
2021-01-09,55.17,32.92,47.75
2021-01-10,46.18,32.37,34.23
2021-01-11,56.6,33.47,39.13
2021-01-12,56.94,33.13,39.06
2021-01-13,56.7,32.94,37.09
2021-01-14,58.55,32.44,35.69
2021-01-15,62.92,34.1,42.63
2021-01-16,54.63,32.99,42.88
2021-01-17,49.5,34.13,41.98
2021-01-18,57.92,35.14,40.21
2021-01-19,58.75,34.67,40.42
2021-01-20,58.32,34.23,37.51
2021-01-21,59.56,34.56,41.91
2021-01-22,65.0,36.62,47.02
2021-01-23,60.13,36.39,51.08
2021-01-24,43.39,33.49,30.88
2021-01-25,57.91,36.19,40.03
2021-01-26,59.33,34.67,38.45
2021-01-27,60.77,35.25,40.39
2021-01-28,62.65,36.32,42.0
2021-01-29,66.91,37.29,45.03
2021-01-30,59.13,35.55,39.81
2021-01-31,52.26,36.12,38.67
2021-02-01,60.93,36.41,41.27
2021-02-02,61.73,35.92,42.94
2021-02-03,62.0,36.51,41.89
2021-02-04,62.63,36.67,40.74
2021-02-05,69.13,39.61,49.91
2021-02-06,63.34,38.97,50.46
2021-02-07,46.89,35.3,29.99
2021-02-08,55.97,36.45,36.16
2021-02-09,57.29,35.8,37.43
2021-02-10,61.59,37.72,41.01
2021-02-11,62.55,37.17,40.46
2021-02-12,69.87,39.56,44.48
2021-02-13,69.81,39.98,50.41
2021-02-14,57.13,37.2,40.69
2021-02-15,69.33,41.63,45.97
2021-02-16,67.93,41.12,45.19
